date,product_id,warehouse_id,demand,price,promotion_active,lead_time,supplier_delay,inventory_level,stockout
2026-01-01,1,1,52,394.74,0,4,0,148.57096417253751,0
2026-01-01,1,2,60,394.74,0,4,0,123.65310722006899,0
2026-01-01,1,3,57,394.74,0,4,0,154.36743689593874,0
2026-01-01,2,1,24,107.84,0,4,0,66.40970649274524,0
2026-01-01,2,2,26,107.84,0,12,8,47.71581225940373,0
2026-01-01,2,3,28,107.84,0,4,0,31.088786557344193,0
2026-01-01,3,1,43,261.97,0,2,0,48.795906997942055,0
2026-01-01,3,2,45,261.97,0,2,0,39.15977961975749,0
2026-01-01,3,3,44,261.97,0,2,0,59.95783728293513,0
2026-01-01,4,1,49,300.28,0,28,0,79.35343766020372,0
2026-01-01,4,2,43,300.28,0,28,0,107.8375238108388,0
2026-01-01,4,3,46,300.28,0,28,0,116.88966542022915,0
2026-01-01,5,1,27,32.76,0,6,0,35.50222610112722,0
2026-01-01,5,2,25,32.76,0,6,0,34.291624205733086,0
2026-01-01,5,3,29,32.76,0,6,0,63.48753348534786,0
2026-01-01,6,1,51,307.7,0,11,0,114.21251091649799,0
2026-01-01,6,2,42,307.7,0,11,0,125.60663847458204,0
2026-01-01,6,3,51,307.7,0,11,0,49.56015631352587,0
2026-01-01,7,1,28,93.56,0,8,0,76.14390691326719,0
2026-01-01,7,2,34,93.56,0,8,0,73.86400165070943,0
2026-01-01,7,3,28,93.56,0,8,0,45.38969000903732,0
2026-01-01,8,1,14,41.88,0,31,4,13.25879482274651,0
2026-01-01,8,2,26,41.88,0,27,0,46.0729149945194,0
2026-01-01,8,3,15,41.88,0,27,0,44.20848218531284,0
2026-01-01,9,1,74,474.95,0,10,0,160.75095103767345,0
2026-01-01,9,2,61,474.95,0,10,0,117.73064037940043,0
2026-01-01,9,3,58,474.95,0,10,0,157.10663322860756,0
2026-01-01,10,1,67,483.16,0,29,0,126.08813194494455,0
2026-01-01,10,2,63,483.16,0,29,0,73.7847899601997,0
2026-01-01,10,3,65,483.16,0,29,0,169.6846353680256,0
2026-01-01,11,1,55,406.11,0,8,0,62.44750174708907,0
2026-01-01,11,2,67,406.11,0,8,0,56.38407301653983,0
2026-01-01,11,3,53,406.11,0,8,0,107.52556668970267,0
2026-01-01,12,1,69,159.26,1,10,0,68.01225698082729,0
2026-01-01,12,2,28,159.26,0,10,0,61.041829470663956,0
2026-01-01,12,3,46,159.26,0,10,0,119.47735273797677,0
2026-01-01,13,1,16,57.86,0,14,5,41.114760151503546,0
2026-01-01,13,2,28,57.86,0,9,0,72.9416152508387,0
2026-01-01,13,3,25,57.86,0,9,0,39.595046098796374,0
2026-01-01,14,1,52,345.27,0,13,0,36.513485660235695,0
2026-01-01,14,2,54,345.27,0,13,0,59.371293486249435,0
2026-01-01,14,3,58,345.27,0,13,0,121.5492361072858,0
2026-01-01,15,1,36,225.67,0,3,0,28.814818302507796,0
2026-01-01,15,2,43,225.67,0,3,0,54.97693075956413,0
2026-01-01,15,3,26,225.67,0,12,9,24.25812154415099,0
2026-01-01,16,1,22,69.8,0,2,0,45.9301507977204,1
2026-01-01,16,2,33,69.8,0,2,0,70.84222460856297,0
2026-01-01,16,3,27,69.8,0,2,0,15.289513461559475,0
2026-01-01,17,1,53,252.64,0,17,0,87.21850799012596,0
2026-01-01,17,2,39,252.64,0,17,0,113.21607997283164,0
2026-01-01,17,3,46,252.64,0,17,0,31.18669457292633,0
2026-01-01,18,1,19,26.85,0,25,1,21.882990091205397,0
2026-01-01,18,2,25,26.85,0,24,0,46.74824270300546,0
2026-01-01,18,3,22,26.85,0,24,0,51.24062654148022,0
2026-01-01,19,1,66,455.57,0,24,0,72.36848186540612,0
2026-01-01,19,2,71,455.57,0,24,0,102.54687729629234,0
2026-01-01,19,3,62,455.57,0,24,0,39.29022099584218,0
2026-01-01,20,1,32,136.8,0,25,0,92.54407081011651,0
2026-01-01,20,2,39,136.8,0,25,0,40.24096976486233,0
2026-01-01,20,3,44,136.8,0,25,0,124.40220162560219,0
2026-01-01,21,1,55,334.64,0,6,0,124.55182903332049,0
2026-01-01,21,2,62,334.64,0,6,0,165.3646493231804,0
2026-01-01,21,3,58,334.64,0,6,0,50.25769914534369,0
2026-01-01,22,1,35,162.74,0,4,0,93.02462067403783,0
2026-01-01,22,2,27,162.74,0,4,0,61.30223070186599,0
2026-01-01,22,3,41,162.74,0,4,0,45.994225829104515,0
2026-01-01,23,1,53,264.83,0,13,0,124.67903657066354,0
2026-01-01,23,2,37,264.83,0,13,0,81.4961470064641,0
2026-01-01,23,3,47,264.83,0,13,0,74.76946021377032,0
2026-01-01,24,1,43,277.89,0,9,0,56.18878673984024,1
2026-01-01,24,2,52,277.89,0,9,0,35.80649112167001,0
2026-01-01,24,3,42,277.89,0,9,0,125.56229437808392,0
2026-01-01,25,1,29,100.58,0,23,0,22.23981478035162,0
2026-01-01,25,2,27,100.58,0,23,0,39.70811591931637,0
2026-01-01,25,3,28,100.58,0,23,0,16.26211657767553,0
2026-01-01,26,1,60,485.1,0,28,0,70.64364637726949,0
2026-01-01,26,2,77,485.1,0,28,0,215.4414862283452,0
2026-01-01,26,3,60,485.1,0,28,0,54.725139170550136,0
2026-01-01,27,1,56,389.82,0,4,0,144.08299089891204,0
2026-01-01,27,2,66,389.82,0,4,0,35.255874196454556,0
2026-01-01,27,3,60,389.82,0,4,0,117.77242984882079,0
2026-01-01,28,1,68,470.35,0,2,0,74.98442149603741,0
2026-01-01,28,2,68,470.35,0,2,0,162.6898524692789,1
2026-01-01,28,3,66,470.35,0,11,9,118.8507706491259,0
2026-01-01,29,1,75,448.47,0,4,0,201.8725504984397,0
2026-01-01,29,2,73,448.47,0,8,4,149.70649312200732,0
2026-01-01,29,3,56,448.47,0,4,0,89.24648908332207,0
2026-01-01,30,1,57,302.97,0,6,0,140.1705543156129,0
2026-01-01,30,2,50,302.97,0,6,0,57.28054853736979,0
2026-01-01,30,3,54,302.97,0,6,0,71.3814673888136,0
2026-01-01,31,1,60,461.72,0,16,0,81.85009249857949,0
2026-01-01,31,2,68,461.72,0,16,0,63.29437810427707,0
2026-01-01,31,3,62,461.72,0,16,0,44.74889273234362,0
2026-01-01,32,1,22,53.36,0,15,0,31.034842357644152,0
2026-01-01,32,2,35,53.36,0,23,8,62.26998868538536,0
2026-01-01,32,3,24,53.36,0,18,3,60.37207678758368,0
2026-01-01,33,1,29,106.03,0,4,0,59.32347093594646,0
2026-01-01,33,2,19,106.03,0,4,0,11.2424521373034,0
2026-01-01,33,3,46,106.03,0,4,0,35.32478130407424,0
2026-01-01,34,1,29,32.16,0,2,0,34.02013424383012,0
2026-01-01,34,2,20,32.16,0,2,0,15.98810659096256,0
2026-01-01,34,3,18,32.16,0,2,0,44.51270573733022,0
2026-01-01,35,1,44,169.41,0,6,0,69.48255008526473,0
2026-01-01,35,2,39,169.41,0,6,0,82.4769310298311,0
2026-01-01,35,3,30,169.41,0,6,0,22.63368544653028,0
2026-01-01,36,1,43,200.45,0,27,0,41.55595508551537,0
2026-01-01,36,2,40,200.45,0,27,0,61.03968269896615,0
2026-01-01,36,3,36,200.45,0,27,0,105.2523389947832,0
2026-01-01,37,1,37,142.96,0,24,0,104.4672789943017,0
2026-01-01,37,2,29,142.96,0,24,0,70.28823765641542,0
2026-01-01,37,3,26,142.96,0,24,0,20.46439360804823,0
2026-01-01,38,1,62,416.08,0,15,0,54.926220867501364,0
2026-01-01,38,2,57,416.08,0,15,0,37.530933292369404,0
2026-01-01,38,3,59,416.08,0,15,0,67.05949657765517,0
2026-01-01,39,1,26,184.81,0,8,0,35.67643732529469,0
2026-01-01,39,2,34,184.81,0,8,0,27.565263996271298,0
2026-01-01,39,3,39,184.81,0,8,0,75.51112853504141,0
2026-01-01,40,1,34,147.66,0,28,0,34.138322204058284,0
2026-01-01,40,2,36,147.66,0,28,0,50.29474357111522,0
2026-01-01,40,3,45,147.66,0,28,0,71.90267721414956,0
2026-01-01,41,1,47,275.92,0,10,0,50.78499167975103,0
2026-01-01,41,2,56,275.92,0,10,0,154.90609553503657,0
2026-01-01,41,3,40,275.92,0,10,0,33.927207266338726,0
2026-01-01,42,1,33,79.05,0,16,0,90.246138101704,0
2026-01-01,42,2,32,79.05,0,16,0,18.682594778862352,0
2026-01-01,42,3,23,79.05,0,16,0,31.169700551164677,0
2026-01-01,43,1,59,403.08,0,16,0,147.10106645248416,0
2026-01-01,43,2,55,403.08,0,16,0,126.50502377508523,0
2026-01-01,43,3,56,403.08,0,16,0,53.4236803521996,0
2026-01-01,44,1,18,46.53,0,27,0,29.79026116398597,0
2026-01-01,44,2,37,46.53,0,27,0,20.175192003427746,0
2026-01-01,44,3,25,46.53,0,27,0,56.040676492305764,0
2026-01-01,45,1,79,493.57,0,11,0,123.26580758222124,0
2026-01-01,45,2,76,493.57,0,11,0,123.6594805667851,0
2026-01-01,45,3,69,493.57,0,11,0,136.4950126660003,0
2026-01-01,46,1,64,388.4,0,29,0,160.45655177568182,1
2026-01-01,46,2,63,388.4,0,29,0,86.04949411263891,0
2026-01-01,46,3,59,388.4,0,29,0,62.629211383647345,0
2026-01-01,47,1,17,107.37,0,14,0,47.38095079539425,0
2026-01-01,47,2,30,107.37,0,14,0,15.982084244125021,0
2026-01-01,47,3,29,107.37,0,14,0,20.68785093570168,0
2026-01-01,48,1,15,12.71,0,20,0,10.015367902066032,0
2026-01-01,48,2,18,12.71,0,20,0,10.64473505316427,0
2026-01-01,48,3,18,12.71,0,20,0,43.89874275127548,0
2026-01-01,49,1,67,409.58,0,8,0,59.50274119339434,0
2026-01-01,49,2,50,409.58,0,8,0,71.66366453496912,0
2026-01-01,49,3,65,409.58,0,8,0,36.90309878181607,0
2026-01-01,50,1,62,356.36,0,18,0,34.05513335192644,0
2026-01-01,50,2,49,356.36,0,18,0,36.68157061301978,0
2026-01-01,50,3,59,356.36,0,18,0,151.95743002363128,0
2026-01-02,1,1,62,394.74,0,4,0,33.015298144164085,0
2026-01-02,1,2,58,394.74,0,6,2,113.54102634060537,0
2026-01-02,1,3,53,394.74,0,4,0,76.80924408216286,0
2026-01-02,2,1,27,107.84,0,4,0,41.13528652290873,0
2026-01-02,2,2,36,107.84,0,4,0,89.98697303525837,0
2026-01-02,2,3,31,107.84,0,4,0,57.47665163621719,0
2026-01-02,3,1,40,261.97,0,2,0,47.2307326519369,1
2026-01-02,3,2,47,261.97,0,2,0,91.24068587292479,0
2026-01-02,3,3,44,261.97,0,2,0,23.20954115243285,0
2026-01-02,4,1,53,300.28,0,28,0,105.65723603756585,0
2026-01-02,4,2,49,300.28,0,28,0,71.43446971056343,0
2026-01-02,4,3,54,300.28,0,28,0,126.63453821756,0
2026-01-02,5,1,16,32.76,0,6,0,22.226908658597964,0
2026-01-02,5,2,19,32.76,0,6,0,32.11239410445724,0
2026-01-02,5,3,26,32.76,0,6,0,16.342677876476273,0
2026-01-02,6,1,43,307.7,0,11,0,104.37306190267584,0
2026-01-02,6,2,61,307.7,0,11,0,96.8111691370713,0
2026-01-02,6,3,51,307.7,0,11,0,114.07380003393942,0
2026-01-02,7,1,23,93.56,0,8,0,42.65930447425559,0
2026-01-02,7,2,28,93.56,0,8,0,60.11483566975021,0
2026-01-02,7,3,22,93.56,0,8,0,65.32174043981558,0
2026-01-02,8,1,24,41.88,0,27,0,67.51489904493995,0
2026-01-02,8,2,26,41.88,0,27,0,76.11878593574892,0
2026-01-02,8,3,23,41.88,0,27,0,60.061590415766545,0
2026-01-02,9,1,65,474.95,0,17,7,45.00489526474649,0
2026-01-02,9,2,66,474.95,0,10,0,43.78379623182549,0
2026-01-02,9,3,73,474.95,0,10,0,198.19093905310413,0
2026-01-02,10,1,61,483.16,0,38,9,181.52705028462103,1
2026-01-02,10,2,81,483.16,0,29,0,95.51661164147333,0
2026-01-02,10,3,65,483.16,0,29,0,117.40936864061001,0
2026-01-02,11,1,126,406.11,1,8,0,288.39929429878623,0
2026-01-02,11,2,58,406.11,0,8,0,35.539598196946855,0
2026-01-02,11,3,63,406.11,0,8,0,186.21705612511286,0
2026-01-02,12,1,28,159.26,0,10,0,83.24294368693512,0
2026-01-02,12,2,34,159.26,0,10,0,87.60461400880308,0
2026-01-02,12,3,39,159.26,0,10,0,23.081363899094832,0
2026-01-02,13,1,20,57.86,0,9,0,35.91301833381961,0
2026-01-02,13,2,29,57.86,0,9,0,51.85547451281762,0
2026-01-02,13,3,37,57.86,0,9,0,87.67812337853115,1
2026-01-02,14,1,51,345.27,0,13,0,83.82259246614768,0
2026-01-02,14,2,54,345.27,0,13,0,152.76458092306362,0
2026-01-02,14,3,54,345.27,0,13,0,27.6860888754335,0
2026-01-02,15,1,47,225.67,0,3,0,90.62997567554996,0
2026-01-02,15,2,43,225.67,0,3,0,100.39531628752293,0
2026-01-02,15,3,41,225.67,0,3,0,54.73591007138688,0
2026-01-02,16,1,26,69.8,0,2,0,58.4343979725732,0
2026-01-02,16,2,32,69.8,0,2,0,16.41161366037718,0
2026-01-02,16,3,27,69.8,0,2,0,13.575607524907388,0
2026-01-02,17,1,49,252.64,0,17,0,38.69087245558157,0
2026-01-02,17,2,82,252.64,1,17,0,67.33198720910423,0
2026-01-02,17,3,89,252.64,1,17,0,84.43815446180294,0
2026-01-02,18,1,28,26.85,0,24,0,67.95978759786928,0
2026-01-02,18,2,22,26.85,0,24,0,14.185625330733908,0
2026-01-02,18,3,32,26.85,0,24,0,70.08418057494035,0
2026-01-02,19,1,62,455.57,0,24,0,158.33450684815335,0
2026-01-02,19,2,65,455.57,0,24,0,32.667290474915426,0
2026-01-02,19,3,72,455.57,0,24,0,89.70739757819867,0
2026-01-02,20,1,34,136.8,0,25,0,28.163485744797136,0
2026-01-02,20,2,24,136.8,0,29,4,31.244564426287646,0
2026-01-02,20,3,31,136.8,0,25,0,82.77951804551616,0
2026-01-02,21,1,47,334.64,0,6,0,47.43489678996221,0
2026-01-02,21,2,54,334.64,0,6,0,98.59784315331457,1
2026-01-02,21,3,53,334.64,0,6,0,26.663218159551434,0
2026-01-02,22,1,30,162.74,0,4,0,56.88095044373984,0
2026-01-02,22,2,41,162.74,0,4,0,64.90779176959471,0
2026-01-02,22,3,28,162.74,0,4,0,61.63196384515276,0
2026-01-02,23,1,53,264.83,0,13,0,152.72594454013,0
2026-01-02,23,2,50,264.83,0,13,0,43.24025925439318,0
2026-01-02,23,3,54,264.83,0,18,5,102.5525722707334,1
2026-01-02,24,1,52,277.89,0,9,0,37.42264488882834,0
2026-01-02,24,2,43,277.89,0,9,0,82.5106411881175,0
2026-01-02,24,3,46,277.89,0,9,0,42.260496959793024,0
2026-01-02,25,1,30,100.58,0,23,0,68.17953895881874,0
2026-01-02,25,2,27,100.58,0,23,0,36.412887996639405,0
2026-01-02,25,3,37,100.58,0,23,0,60.33944131794276,0
2026-01-02,26,1,70,485.1,0,28,0,49.28524685535318,0
